1 Node 8 Cores
2021-04-08 20:26:44,619 - INFO - Starting execution at Thu Apr  8 20:26:44 2021
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 0 of 14989216936 of size 1873652117 at worker 0
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 1873652117 of 14989216936 of size 1873652117 at worker 1
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 3747304234 of 14989216936 of size 1873652117 at worker 2
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 5620956351 of 14989216936 of size 1873652117 at worker 3
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 7494608468 of 14989216936 of size 1873652117 at worker 4
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 9368260585 of 14989216936 of size 1873652117 at worker 5
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 11241912702 of 14989216936 of size 1873652117 at worker 6
2021-04-08 20:26:44,676 - INFO - Commencing processing of chunk beginning at 13115564819 of 14989216936 of size 1873652117 at worker 7
2021-04-08 20:27:07,209 - INFO - Succesfully parsed file portion 1/2 at worker 3
2021-04-08 20:27:07,259 - INFO - Succesfully parsed file portion 1/2 at worker 1
2021-04-08 20:27:07,406 - INFO - Succesfully parsed file portion 1/2 at worker 0
2021-04-08 20:27:07,440 - WARNING - Issue with searching tweet for co-ordinates
2021-04-08 20:27:07,546 - INFO - Succesfully parsed file portion 1/2 at worker 7
2021-04-08 20:27:07,818 - WARNING - Issue with searching tweet for co-ordinates
2021-04-08 20:27:07,894 - INFO - Succesfully parsed file portion 1/2 at worker 2
2021-04-08 20:27:07,957 - INFO - Succesfully parsed file portion 1/2 at worker 4
2021-04-08 20:27:08,047 - INFO - Succesfully parsed file portion 1/2 at worker 5
2021-04-08 20:27:08,460 - WARNING - Issue with searching tweet for co-ordinates
2021-04-08 20:27:08,570 - INFO - Succesfully parsed file portion 1/2 at worker 6
2021-04-08 20:27:13,926 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,926 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,926 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,926 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,927 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,928 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,929 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,930 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,931 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:13,931 - WARNING - Error occurred when finding the grid cell associated with the point (145.133,-38.1)
2021-04-08 20:27:14,002 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,003 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,004 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,005 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,006 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,007 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,008 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,009 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,010 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,011 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,012 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,013 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,013 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,013 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,013 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,013 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,013 - WARNING - Error occurred when finding the grid cell associated with the point (145.183,-38.1)
2021-04-08 20:27:14,708 - WARNING - Error occurred when finding the grid cell associated with the point (145.2811,-38.1)
2021-04-08 20:27:16,423 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,423 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
2021-04-08 20:27:16,424 - WARNING - Could not process tweet
2021-04-08 20:27:16,424 - INFO - Error - we have an out of bounds cell being counted - B5
